MasterVM, BackupDS,
CEN-STUTST1
CEN-STUTST1-TEMPLATE
POWERMANAGER
DS-WIN732
DS-WIN764
EXW7CLI2
IAMWS1
IAMWS2
JDEADMGMT1
JDEADMGMT2
KMS2
MBAM
MBAMDB
SCCM
SCCM2012
SCCM2012DB
SCCMDP2
SCCMDP3
WUS
ART-LICENCE
ASW-EDULICENCE
ATAR
