MasterVM, BackupDS,
AVSTREAM
MyMMUsqlTest
MyMMUtest
APIS
APIS2
API-STAGING
APPS1
APPS2
APPS3
APPSTEST1
APPSTEST2
APPSTEST3
CAMPUSMLIVE
CAMPUSMTEST
JDEAPP1
JDEAPP2
JDEWEB1
JDEWEB2
JDEWEB3
MMU-MAN-BERBER
MMU-MAN-ZULU
MMU-SCI-TORINO
QUANTUM VMPRO
TESTSP2010
TESTSPAPP01
TESTSPSQL01
TESTSPWEB01
TESTWEBSERVICES.AD.MMU.AC.UK
