MasterVM, BackupDS,
cirrus
goldeneye
skyfall
SPAPP1
SPAPP2
SPAPPDEV1
spappuat1
SPAPPUAT2
SPSQLDEV1
SPWFE1
SPWFE2
SPWFE3
SPWFEDEV1
SPWFEUAT1
spwfeuat2
SPWFEUAT3
stratus
